Decade,CountryDescription,CountryCode,FertilizerKgHa,PesticideKgHa,RyeActualYield,BarleyActualYield,WheatActualYield,IncompleteWarning,InsertedBy
80,Albania,ALB,176.165803108808,0.17,0.6699999999999999,1.0,3.0199999999999996,N,xyz
90,Albania,ALB,28.479001877027695,0.319,1.217,1.6250000000000004,2.622,N,xyz
00,Albania,ALB,86.98743918948941,0.5509999999999999,2.0520000000000005,2.7720000000000002,3.377,N,xyz
10,Albania,ALB,100.23853963865186,0.7685714285714286,2.3614285714285717,2.8571428571428577,4.051428571428572,N,xyz
80,Algeria,DZA,17.9353198700748,0.61,,0.7599999999999998,0.6299999999999999,Y,xyz
90,Algeria,DZA,12.090417757159765,0.309,,0.877,0.9550000000000001,Y,xyz
00,Algeria,DZA,12.893085522524995,0.371,,1.3429999999999997,1.346,Y,xyz
10,Algeria,DZA,21.493531301995173,0.7814285714285714,,1.2342857142857142,1.5257142857142856,Y,xyz
80,Angola,AGO,3.27586206896552,0.02,,,0.8000000000000003,Y,xyz
90,Angola,AGO,1.9438983050847454,0.024,,,1.2760000000000002,Y,xyz
00,Angola,AGO,4.370668319820598,0.01,,,1.1466666666666667,Y,xyz
10,Angola,AGO,9.335358476521305,0.01,,,1.0242857142857145,Y,xyz
80,Argentina,ARG,6.22765757290687,0.95,0.8100000000000005,2.1899999999999995,1.8900000000000006,N,xyz
90,Argentina,ARG,21.340843796620454,1.7600000000000002,0.9870000000000003,2.415,2.2170000000000005,N,xyz
00,Argentina,ARG,37.29078099346288,4.351,1.3300000000000005,2.9829999999999997,2.4600000000000004,N,xyz
10,Argentina,ARG,36.897545157837385,5.155714285714287,1.7742857142857145,3.382857142857143,3.002857142857143,N,xyz
82,Armenia,ARM,59.1016548463357,0.02,0.9100000000000001,1.63,2.16,N,xyz
92,Armenia,ARM,19.80810807936809,0.096,1.496,1.174,2.0930000000000004,N,xyz
02,Armenia,ARM,68.30815814054274,0.445,2.0580000000000003,1.996,2.24,N,xyz
12,Armenia,ARM,185.8801358338852,0.55,2.656,2.6079999999999997,3.024,N,xyz
80,Australia,AUS,68.9170287803727,1.04,0.7000000000000002,1.6800000000000002,1.63,N,xyz
90,Australia,AUS,97.62274823395668,1.426,0.6260000000000001,1.816,1.791,N,xyz
00,Australia,AUS,86.10232502656326,1.409,0.5780000000000002,1.717,1.564,N,xyz
10,Australia,AUS,78.2661323544426,1.6742857142857142,0.6728571428571428,2.2528571428571427,2.0642857142857145,N,xyz
80,Austria,AUT,212.692847124825,2.82,4.26,5.2,5.050000000000001,N,xyz
90,Austria,AUT,176.8967494615311,2.477,3.8340000000000005,4.5280000000000005,5.016,N,xyz
00,Austria,AUT,124.42583164154034,2.402,3.8560000000000003,4.6,5.086,N,xyz
10,Austria,AUT,132.61616358377114,2.5885714285714285,4.390000000000001,5.464285714285714,5.442857142857144,N,xyz
82,Azerbaijan,AZE,44.0011733646231,0.07,1.4699999999999998,2.01,2.1699999999999995,N,xyz
92,Azerbaijan,AZE,13.460453943442383,0.07,1.1099999999999999,1.7169999999999999,1.9279999999999997,N,xyz
02,Azerbaijan,AZE,13.590876643004487,0.125,1.175,2.293,2.53,N,xyz
12,Azerbaijan,AZE,36.71377204758676,0.238,1.9140000000000001,2.488,2.812,N,xyz
80,Bahrain,BHR,301.0,3.51,,,,Y,xyz
90,Bahrain,BHR,315.35,2.81,,,,Y,xyz
00,Bahrain,BHR,1474.221325352555,2.2359999999999998,,,,Y,xyz
10,Bahrain,BHR,2031.1633928571428,1.99,,,,Y,xyz
80,Bangladesh,BGD,98.7332910321489,0.13,,0.0,0.0,Y,xyz
90,Bangladesh,BGD,133.9104177512721,0.215,,0.0,0.0,Y,xyz
00,Bangladesh,BGD,187.1398467440149,1.01,,0.0,0.0,Y,xyz
10,Bangladesh,BGD,277.44423191843646,1.7085714285714286,,0.0,0.0,Y,xyz
82,Belarus,BLR,229.289940828402,0.78,3.0599999999999996,2.6600000000000006,2.8000000000000003,N,xyz
92,Belarus,BLR,123.36715171333609,0.788,2.042,2.2140000000000004,2.2969999999999997,N,xyz
02,Belarus,BLR,226.4835589974492,0.881,2.396,3.0840000000000005,3.249,N,xyz
12,Belarus,BLR,190.963814671412,0.722,2.61,3.2400000000000007,3.5799999999999996,N,xyz
80,Belize,BLZ,98.0769230769231,10.01,,,,Y,xyz
90,Belize,BLZ,87.0492796872334,12.217,,,,Y,xyz
00,Belize,BLZ,136.1402238948267,10.403,,,,Y,xyz
10,Belize,BLZ,323.9178444333446,8.56857142857143,,,,Y,xyz
80,Bhutan,BTN,0.740740740740741,0.03,,1.0300000000000002,0.7700000000000005,Y,xyz
90,Bhutan,BTN,0.7045484638763627,0.08714285714285715,,1.0342857142857145,1.202857142857143,Y,xyz
00,Bhutan,BTN,10.766021061260039,0.03777777777777778,,1.3700000000000003,1.4677777777777778,Y,xyz
10,Bhutan,BTN,15.514504360440128,0.08,,1.5728571428571434,2.122857142857143,Y,xyz
80,Bolivia,BOL,2.45809523809524,0.99,0.5800000000000001,0.6800000000000002,0.6499999999999995,N,xyz
90,Bolivia,BOL,3.4333592216170223,0.7140000000000001,0.681,0.6960000000000001,0.8919999999999997,N,xyz
00,Bolivia,BOL,4.988621926984412,1.765,0.873,0.7920000000000001,1.1009999999999995,N,xyz
10,Bolivia,BOL,8.467770763604028,3.1142857142857143,0.8214285714285714,0.8671428571428572,1.1585714285714281,N,xyz
80,Brazil,BRA,67.7608787494719,0.88,0.0,0.0,1.15,N,xyz
90,Brazil,BRA,112.59722370210599,1.8530000000000002,0.0,0.0,1.599,N,xyz
00,Brazil,BRA,189.00599153542322,4.107,0.0,0.0,2.114,N,xyz
10,Brazil,BRA,261.13267982024456,5.845714285714286,0.0,0.0,2.5142857142857147,N,xyz
80,Brunei,BRN,2100.0,0.35,,,,Y,xyz
90,Brunei,BRN,1983.3333333333333,0.3499999999999999,,,,Y,xyz
00,Brunei,BRN,220.93518518518522,1.3022222222222224,,,,Y,xyz
10,Brunei,BRN,120.4,1.3771428571428572,,,,Y,xyz
80,Bulgaria,BGR,177.619294605809,0.94,2.0100000000000002,3.8500000000000005,4.55,N,xyz
90,Bulgaria,BGR,53.55092272076748,0.829,1.4890000000000003,2.7690000000000006,2.8689999999999998,N,xyz
00,Bulgaria,BGR,96.27360397873656,0.628,1.7040000000000002,3.0180000000000002,3.195,N,xyz
10,Bulgaria,BGR,117.02566518581993,0.5428571428571429,1.9171428571428575,4.0,4.39,N,xyz
80,Burkina Faso,BFA,6.03880171184023,0.01,,,,Y,xyz
90,Burkina Faso,BFA,8.353736978322663,0.012,,,,Y,xyz
00,Burkina Faso,BFA,9.089489665199542,0.024,,,,Y,xyz
10,Burkina Faso,BFA,15.978187559220643,0.14,,,,Y,xyz
80,Burundi,BDI,2.25806451612903,0.07,,,0.75,Y,xyz
90,Burundi,BDI,3.412656180387482,0.09,,,0.7600000000000001,Y,xyz
00,Burundi,BDI,2.2916986639201773,0.20800000000000002,,,0.8130000000000003,Y,xyz
10,Burundi,BDI,10.29305476190476,0.1285714285714286,,,0.5571428571428573,Y,xyz
80,Cameroon,CMR,3.67003367003367,0.13,,,1.5,Y,xyz
90,Cameroon,CMR,5.5310640967796525,0.089,,,1.3220000000000003,Y,xyz
00,Cameroon,CMR,8.624899149213316,0.122,,,1.3460000000000003,Y,xyz
10,Cameroon,CMR,11.230503917050696,0.18,,,1.3200000000000003,Y,xyz
80,Canada,CAN,50.1330045688592,0.71,1.7599999999999998,2.97,2.2800000000000002,N,xyz
90,Canada,CAN,60.724297725666965,0.844,2.0229999999999997,2.9859999999999998,2.286,N,xyz
00,Canada,CAN,68.23194829086503,1.099,2.2589999999999995,2.962,2.477,N,xyz
10,Canada,CAN,101.31104219984634,2.0628571428571427,2.754285714285714,3.278571428571429,2.81,N,xyz
80,Chile,CHL,109.451106352605,5.04,2.6999999999999997,3.4800000000000004,2.9499999999999997,N,xyz
90,Chile,CHL,198.99810099745292,6.337,2.421,3.5330000000000004,3.6279999999999992,N,xyz
00,Chile,CHL,452.17074053105887,5.5920000000000005,3.4019999999999997,4.531000000000001,4.528999999999999,N,xyz
10,Chile,CHL,362.6360533569747,5.615714285714286,4.444285714285714,4.7299999999999995,5.411428571428571,N,xyz
80,China,CHN,219.099300294824,5.87,1.4899999999999998,2.8099999999999996,3.19,N,xyz
90,China,CHN,269.9379897372291,8.187999999999999,1.6509999999999998,2.625,3.6129999999999995,N,xyz
00,China,CHN,363.98178489538475,12.23,2.247,3.6689999999999996,4.35,N,xyz
10,China,CHN,450.68427678090745,14.037142857142857,3.467142857142857,3.6585714285714284,5.13,N,xyz
80,Congo,COG,3.28810020876827,0.05,,,,Y,xyz
90,Congo,COG,6.646582121609262,0.036,,,,Y,xyz
00,Congo,COG,2.304182773109244,0.0075,,,,Y,xyz
10,Congo,COG,2.1257640284244057,0.0,,,,Y,xyz
80,Cote d'Ivoire,CIV,15.2263374485597,0.0,,,,Y,xyz
90,Cote d'Ivoire,CIV,23.39452995853193,0.009,,,,Y,xyz
00,Cote d'Ivoire,CIV,24.22669581280788,0.01,,,,Y,xyz
10,Cote d'Ivoire,CIV,33.85977279615296,0.01,,,,Y,xyz
82,Croatia,HRV,151.420792079208,1.74,2.69,3.25,3.9,N,xyz
92,Croatia,HRV,202.45726058390443,2.6079999999999997,2.708,3.1559999999999997,4.078,N,xyz
02,Croatia,HRV,315.03629857676503,2.108,2.749,3.6450000000000005,4.676,N,xyz
12,Croatia,HRV,173.46582776661802,2.106,2.9899999999999998,4.292,5.176,N,xyz
80,Cyprus,CYP,215.265151515152,13.95,,0.0,0.0,Y,xyz
90,Cyprus,CYP,224.92777515320208,12.488,,0.0,0.0,Y,xyz
00,Cyprus,CYP,142.3435316024808,4.793,,0.0,0.0,Y,xyz
10,Cyprus,CYP,175.05567114789528,7.241428571428571,,0.0,0.0,Y,xyz
83,Czechia,CZE,91.9276710684274,1.04,3.81,3.8000000000000003,4.24,N,xyz
93,Czechia,CZE,98.16714567569981,1.2730000000000001,3.5060000000000002,3.748,4.481,N,xyz
03,Czechia,CZE,103.23578724763027,1.686,4.508,4.336,5.192,N,xyz
13,Czechia,CZE,183.44374998729475,1.775,4.984999999999999,5.487500000000001,6.26,N,xyz
80,Denmark,DNK,247.24716907458,2.2,5.0200000000000005,5.53,7.42,N,xyz
90,Denmark,DNK,187.28999242741028,1.6330000000000002,4.816,5.006,7.009,N,xyz
00,Denmark,DNK,132.892733221993,1.3960000000000001,4.928,5.156000000000001,7.0969999999999995,N,xyz
10,Denmark,DNK,123.90211401758586,1.3900000000000001,5.298571428571429,5.682857142857143,7.251428571428571,N,xyz
80,Ecuador,ECU,42.4071072319202,0.87,0.29000000000000004,0.8000000000000007,0.7999999999999998,N,xyz
90,Ecuador,ECU,77.77509582968284,2.513,0.5249999999999996,0.6670000000000001,0.6340000000000001,N,xyz
00,Ecuador,ECU,198.6269308203623,6.590999999999999,0.6789999999999995,0.6020000000000002,0.761,N,xyz
10,Ecuador,ECU,289.7785898443498,9.974285714285715,0.6199999999999998,0.9542857142857145,1.012857142857143,N,xyz
80,Egypt,EGY,419.853765323993,4.99,0.0,2.66,4.65,N,xyz
90,Egypt,EGY,393.89337039542045,1.629,0.0,2.173,4.65,N,xyz
00,Egypt,EGY,511.7123535331625,2.127,0.0,2.269,4.65,N,xyz
10,Egypt,EGY,527.4212565846327,2.93,0.0,2.302857142857143,4.65,N,xyz
80,El Salvador,SLV,135.992727272727,3.12,,,,Y,xyz
90,El Salvador,SLV,133.6910643356372,4.007,,,,Y,xyz
00,El Salvador,SLV,116.43833838014443,2.873,,,,Y,xyz
10,El Salvador,SLV,133.23993616786376,5.247142857142857,,,,Y,xyz
83,Eritrea,ERI,1.40562248995984,0.01,,0.2200000000000002,0.20000000000000018,Y,xyz
93,Eritrea,ERI,10.753457136075436,0.038,,0.6090000000000002,0.582,Y,xyz
03,Eritrea,ERI,1.3357117509991423,0.04111111111111111,,1.128888888888889,1.0333333333333332,Y,xyz
13,Eritrea,ERI,2.2850905797101477,0.04,,1.4400000000000002,1.0499999999999998,Y,xyz
82,Estonia,EST,101.085201793722,0.42,2.4699999999999998,1.1199999999999997,2.0600000000000005,N,xyz
92,Estonia,EST,39.10208860277628,0.267,1.924,1.8159999999999996,1.9930000000000003,N,xyz
02,Estonia,EST,75.91895253017876,0.741,2.463,2.4869999999999997,2.9280000000000004,N,xyz
12,Estonia,EST,83.39097433360004,0.9339999999999999,2.668,3.5419999999999994,3.806,N,xyz
83,Ethiopia,ETH,7.59,0.02,,1.3599999999999999,1.5499999999999998,Y,xyz
93,Ethiopia,ETH,14.17474552297131,0.05,,1.038,1.2689999999999997,Y,xyz
03,Ethiopia,ETH,17.47568830913555,0.196,,1.4760000000000002,1.8089999999999997,Y,xyz
13,Ethiopia,ETH,30.5856328111143,0.24,,2.0925000000000002,2.7075,Y,xyz
80,Finland,FIN,195.09453920402,0.88,2.86,3.31,3.4800000000000004,N,xyz
90,Finland,FIN,147.8361786403176,0.54,2.359,3.0940000000000003,3.37,N,xyz
00,Finland,FIN,125.88625635545063,0.7060000000000001,2.45,3.278,3.6050000000000004,N,xyz
10,Finland,FIN,88.20404645138242,0.6985714285714285,2.75,3.31,3.9571428571428577,N,xyz
80,France,FRA,319.531285142369,5.14,3.64,5.680000000000001,6.48,N,xyz
90,France,FRA,265.212185604088,5.08,4.226000000000001,5.9830000000000005,6.8469999999999995,N,xyz
00,France,FRA,189.02217608831,3.9370000000000003,4.679,6.288,6.947,N,xyz
10,France,FRA,163.41765289755787,3.5100000000000002,4.661428571428572,6.2700000000000005,6.94,N,xyz
80,French Polynesia,PYF,450.0,1.8,,,,Y,xyz
90,French Polynesia,PYF,388.1333333333332,1.8,,,,Y,xyz
00,French Polynesia,PYF,295.5133333333333,1.8210000000000002,,,,Y,xyz
10,French Polynesia,PYF,270.0462857142857,1.2214285714285715,,,,Y,xyz
