symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
TATAMOTORS,INE155A01022,2025-01-01,NSE,EQ,EQ,buy,false,2.000000,742.500000,602912584,1300000021965974,2025-01-01T11:19:39
COALINDIA,INE522F01014,2025-01-01,NSE,EQ,EQ,buy,false,2.000000,386.299988,2358351,1000000021485144,2025-01-01T11:19:48
IOB,INE565A01014,2025-01-01,NSE,EQ,EQ,buy,false,2.000000,51.970001,203046152,1100000022867976,2025-01-01T11:20:14
GOLDBEES,INF204KB17I5,2025-01-01,NSE,EQ,EQ,buy,false,25.000000,64.419998,203208718,1100000024172260,2025-01-01T11:30:02
GOLDBEES,INF204KB17I5,2025-02-27,NSE,EQ,EQ,buy,false,25.000000,71.720001,205189846,1100000039127318,2025-02-27T12:40:20
GOLDBEES,INF204KB17I5,2025-03-03,NSE,EQ,EQ,buy,false,25.000000,71.190002,205337314,1100000039068235,2025-03-03T11:30:03
SUNTV,INE424H01027,2025-03-05,NSE,EQ,EQ,sell,false,10.000000,560.599976,603422513,1300000023999372,2025-03-05T10:44:07
TORNTPOWER,INE813H01021,2025-03-05,NSE,EQ,EQ,sell,false,1.000000,1288.949951,603422511,1300000023999367,2025-03-05T10:44:07
TATAMOTORS,INE155A01022,2025-03-05,NSE,EQ,EQ,sell,false,9.000000,634.000000,603422515,1300000023999412,2025-03-05T10:44:07
TORNTPOWER,INE813H01021,2025-03-05,NSE,EQ,EQ,sell,false,4.000000,1288.849976,603422512,1300000023999367,2025-03-05T10:44:07
NMDC,INE584A01023,2025-03-05,NSE,EQ,EQ,sell,false,129.000000,63.200001,403604222,1200000029514405,2025-03-05T10:44:07
JKTYRE,INE573A01042,2025-03-05,NSE,EQ,EQ,sell,false,23.000000,261.750000,403604220,1200000029514390,2025-03-05T10:44:07
JKIL,INE576I01022,2025-03-05,NSE,EQ,EQ,sell,false,12.000000,633.200012,403604214,1200000029514325,2025-03-05T10:44:07
COALINDIA,INE522F01014,2025-03-05,NSE,EQ,EQ,sell,false,18.000000,367.850006,3253555,1000000025860000,2025-03-05T10:44:07
CASTROLIND,INE172A01027,2025-03-05,NSE,EQ,EQ,sell,false,10.000000,221.800003,3253549,1000000025859945,2025-03-05T10:44:07
APOLLOTYRE,INE438A01022,2025-03-05,NSE,EQ,EQ,sell,false,17.000000,387.149994,3253554,1000000025859993,2025-03-05T10:44:07
MOIL,INE490G01020,2025-03-05,NSE,EQ,EQ,buy,false,18.000000,321.500000,403604936,1200000029521812,2025-03-05T10:44:09
JINDALSAW,INE324A01032,2025-03-05,NSE,EQ,EQ,buy,false,15.000000,245.910004,403604930,1200000029521758,2025-03-05T10:44:09
MOIL,INE490G01020,2025-03-05,NSE,EQ,EQ,buy,false,11.000000,321.500000,403604935,1200000029521812,2025-03-05T10:44:09
MOTILALOFS,INE338I01027,2025-03-05,NSE,EQ,EQ,buy,false,15.000000,591.799988,403604931,1200000029521772,2025-03-05T10:44:09
UTIAMC,INE094J01016,2025-03-05,NSE,EQ,EQ,buy,false,2.000000,926.900024,603423296,1300000024005193,2025-03-05T10:44:09
MOTILALOFS,INE338I01027,2025-03-05,NSE,EQ,EQ,buy,false,1.000000,591.849976,403604932,1200000029521772,2025-03-05T10:44:09
ARE&M,INE885A01032,2025-03-05,NSE,EQ,EQ,buy,false,4.000000,992.799988,3254502,1000000025868040,2025-03-05T10:44:09
CEATLTD,INE482A01020,2025-03-05,NSE,EQ,EQ,buy,false,1.000000,2509.500000,3254497,1000000025867962,2025-03-05T10:44:09
HGINFRA,INE926X01010,2025-03-05,NSE,EQ,EQ,buy,false,2.000000,1075.750000,203064874,1100000023254597,2025-03-05T10:44:09
LTFOODS,INE818H01020,2025-03-05,NSE,EQ,EQ,buy,false,7.000000,339.000000,203064870,1100000023254578,2025-03-05T10:44:09
GULFOILLUB,INE635Q01029,2025-03-05,NSE,EQ,EQ,buy,false,8.000000,1183.550049,203064869,1100000023254561,2025-03-05T10:44:09
HGINFRA,INE926X01010,2025-03-05,NSE,EQ,EQ,buy,false,1.000000,1075.750000,203064873,1100000023254597,2025-03-05T10:44:09
AUROPHARMA,INE406A01037,2025-03-05,NSE,EQ,EQ,buy,false,9.000000,1084.300049,3254501,1000000025868037,2025-03-05T10:44:09
JINDALSAW,INE324A01032,2025-03-28,NSE,EQ,EQ,buy,false,1.000000,272.149994,400699607,1200000005380488,2025-03-28T09:24:36
TIMETECHNO,INE508G01029,2025-03-28,NSE,EQ,EQ,buy,false,1.000000,433.950012,600641581,1300000004541473,2025-03-28T09:24:36
MOIL,INE490G01020,2025-03-28,NSE,EQ,EQ,buy,false,3.000000,335.950012,400699596,1200000005380412,2025-03-28T09:24:36
GULFOILLUB,INE635Q01029,2025-03-28,NSE,EQ,EQ,buy,false,1.000000,1182.000000,200644347,1100000004611017,2025-03-28T09:24:36
HGINFRA,INE926X01010,2025-03-28,NSE,EQ,EQ,buy,false,1.000000,1108.199951,200644345,1100000004610985,2025-03-28T09:24:36
UTIAMC,INE094J01016,2025-03-28,NSE,EQ,EQ,buy,false,1.000000,1054.300049,600641577,1300000004541380,2025-03-28T09:24:36
ARE&M,INE885A01032,2025-03-28,NSE,EQ,EQ,buy,false,1.000000,1043.849976,638507,1000000004663083,2025-03-28T09:24:36
MOTILALOFS,INE338I01027,2025-03-28,NSE,EQ,EQ,buy,false,2.000000,629.500000,400699608,1200000005380500,2025-03-28T09:24:36
GOLDBEES,INF204KB17I5,2025-04-01,NSE,EQ,EQ,buy,false,25.000000,76.139999,204449336,1100000036293783,2025-04-01T11:30:02
HGINFRA,INE926X01010,2025-04-29,NSE,EQ,EQ,buy,false,1.000000,1094.000000,200021008,1100000000224331,2025-04-29T09:15:00
LTFOODS,INE818H01020,2025-04-29,NSE,EQ,EQ,buy,false,1.000000,356.049988,400016364,1200000000163765,2025-04-29T09:15:00
LTFOODS,INE818H01020,2025-04-29,NSE,EQ,EQ,buy,false,2.000000,356.049988,400016363,1200000000163765,2025-04-29T09:15:00
JINDALSAW,INE324A01032,2025-04-29,NSE,EQ,EQ,buy,false,1.000000,261.149994,200021011,1100000000224337,2025-04-29T09:15:00
MOIL,INE490G01020,2025-04-29,NSE,EQ,EQ,buy,false,3.000000,318.649994,400016339,1200000000163707,2025-04-29T09:15:00
GULFOILLUB,INE635Q01029,2025-04-29,NSE,EQ,EQ,buy,false,1.000000,1191.099976,200021026,1100000000224387,2025-04-29T09:15:00
JINDALSAW,INE324A01032,2025-04-29,NSE,EQ,EQ,buy,false,1.000000,261.100006,200021010,1100000000224337,2025-04-29T09:15:00
TIMETECHNO,INE508G01029,2025-04-29,NSE,EQ,EQ,buy,false,6.000000,351.100006,600026209,1300000000219387,2025-04-29T09:15:00
JINDALSAW,INE324A01032,2025-04-29,NSE,EQ,EQ,buy,false,1.000000,261.049988,200021009,1100000000224337,2025-04-29T09:15:00
GOLDBEES,INF204KB17I5,2025-04-30,NSE,EQ,EQ,buy,false,25.000000,80.059998,203754614,1100000031378821,2025-04-30T11:00:01
JINDALSAW,INE324A01032,2025-05-28,NSE,EQ,EQ,buy,false,16.000000,215.789993,200751077,1100000005039264,2025-05-28T09:23:56
GULFOILLUB,INE635Q01029,2025-05-28,NSE,EQ,EQ,buy,false,1.000000,1174.599976,200751080,1100000005039286,2025-05-28T09:23:56
TIMETECHNO,INE508G01029,2025-05-28,NSE,EQ,EQ,buy,false,1.000000,383.850006,600664350,1300000004315177,2025-05-28T09:23:56
AUROPHARMA,INE406A01037,2025-05-28,NSE,EQ,EQ,buy,false,1.000000,1173.000000,505597,1000000003884458,2025-05-28T09:23:56
AVANTIFEED,INE871C01038,2025-05-28,NSE,EQ,EQ,buy,false,1.000000,857.500000,505598,1000000003884466,2025-05-28T09:23:56
GOLDBEES,INF204KB17I5,2025-06-02,NSE,EQ,EQ,buy,false,25.000000,79.830002,203057374,1100000022796788,2025-06-02T10:15:53
ARE&M,INE885A01032,2025-06-26,NSE,EQ,EQ,sell,false,11.000000,971.000000,4159320,1000000041095706,2025-06-26T12:51:49
TIMETECHNO,INE508G01029,2025-06-26,NSE,EQ,EQ,sell,false,3.000000,452.149994,604901758,1300000046548180,2025-06-26T12:51:49
MOTILALOFS,INE338I01027,2025-06-26,NSE,EQ,EQ,sell,false,18.000000,861.700012,404938681,1200000051210142,2025-06-26T12:51:49
AUROPHARMA,INE406A01037,2025-06-26,NSE,EQ,EQ,sell,false,10.000000,1121.099976,4159319,1000000041095697,2025-06-26T12:51:49
UTIAMC,INE094J01016,2025-06-26,NSE,EQ,EQ,sell,false,8.000000,1273.300049,604901757,1300000046548137,2025-06-26T12:51:49
JINDALSAW,INE324A01032,2025-06-26,NSE,EQ,EQ,sell,false,28.000000,241.240005,205911590,1100000052480630,2025-06-26T12:51:49
JINDALSAW,INE324A01032,2025-06-26,NSE,EQ,EQ,sell,false,2.000000,241.240005,205911591,1100000052480630,2025-06-26T12:51:49
JINDALSAW,INE324A01032,2025-06-26,NSE,EQ,EQ,sell,false,1.000000,241.229996,205911592,1100000052480630,2025-06-26T12:51:49
JINDALSAW,INE324A01032,2025-06-26,NSE,EQ,EQ,sell,false,28.000000,241.179993,205911593,1100000052480630,2025-06-26T12:51:49
AVANTIFEED,INE871C01038,2025-06-26,NSE,EQ,EQ,sell,false,6.000000,728.200012,4159322,1000000041095716,2025-06-26T12:51:49
UTIAMC,INE094J01016,2025-06-26,NSE,EQ,EQ,sell,false,1.000000,1273.599976,604901754,1300000046548137,2025-06-26T12:51:49
AVANTIFEED,INE871C01038,2025-06-26,NSE,EQ,EQ,sell,false,8.000000,728.200012,4159321,1000000041095716,2025-06-26T12:51:49
UTIAMC,INE094J01016,2025-06-26,NSE,EQ,EQ,sell,false,1.000000,1273.599976,604901755,1300000046548137,2025-06-26T12:51:49
UTIAMC,INE094J01016,2025-06-26,NSE,EQ,EQ,sell,false,1.000000,1273.599976,604901756,1300000046548137,2025-06-26T12:51:49
HGINFRA,INE926X01010,2025-06-26,NSE,EQ,EQ,sell,false,1.000000,1057.000000,205911594,1100000052480697,2025-06-26T12:51:49
