symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
AXIS NIFTY 100 INDEX FUND - DIRECT PLAN,INF846K01S29,2025-01-01,BSE,MF,,buy,false,317.995000,21.697400,1579381256,1579381256,2025-01-01T00:00:00
EDELWEISS SMALL CAP FUND - DIRECT PLAN,INF754K01JN6,2025-01-01,BSE,MF,,buy,false,40.206000,49.741000,1579459802,1579459802,2025-01-01T00:00:00
HDFC NIFTY500 MULTICAP 50 25 25 INDEX FUND - DIRECT PLAN,INF179KC1IO9,2025-01-01,BSE,MF,,buy,false,712.797000,9.679700,1579356244,1579356244,2025-01-01T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2025-01-01,BSE,MF,,buy,false,57.988000,87.945600,1579518092,1579518092,2025-01-01T00:00:00
QUANT MOMENTUM FUND - DIRECT PLAN,INF966L01CZ3,2025-01-01,BSE,MF,,buy,false,146.439000,14.339800,1579490960,1579490960,2025-01-01T00:00:00
AXIS NIFTY 100 INDEX FUND - DIRECT PLAN,INF846K01S29,2025-02-03,BSE,MF,,buy,false,326.953000,21.102900,1646149582,1646149582,2025-02-03T00:00:00
EDELWEISS SMALL CAP FUND - DIRECT PLAN,INF754K01JN6,2025-02-03,BSE,MF,,buy,false,43.895000,45.561000,1646233258,1646233258,2025-02-03T00:00:00
HDFC NIFTY500 MULTICAP 50 25 25 INDEX FUND - DIRECT PLAN,INF179KC1IO9,2025-02-03,BSE,MF,,buy,false,762.217000,9.052100,1646110453,1646110453,2025-02-03T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2025-02-03,BSE,MF,,buy,false,58.364000,87.379000,1646265675,1646265675,2025-02-03T00:00:00
QUANT MOMENTUM FUND - DIRECT PLAN,INF966L01CZ3,2025-02-03,BSE,MF,,buy,false,152.880000,13.735600,1646221016,1646221016,2025-02-03T00:00:00
AXIS NIFTY 100 INDEX FUND - DIRECT PLAN,INF846K01S29,2025-03-03,BSE,MF,,buy,false,346.671000,19.902600,1705680565,1705680565,2025-03-03T00:00:00
EDELWEISS SMALL CAP FUND - DIRECT PLAN,INF754K01JN6,2025-03-03,BSE,MF,,buy,false,50.358000,39.714000,1705730543,1705730543,2025-03-03T00:00:00
HDFC NIFTY500 MULTICAP 50 25 25 INDEX FUND - DIRECT PLAN,INF179KC1IO9,2025-03-03,BSE,MF,,buy,false,829.306000,8.319800,1705662038,1705662038,2025-03-03T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2025-03-03,BSE,MF,,buy,false,61.524000,82.891000,1705585491,1705585491,2025-03-03T00:00:00
QUANT MOMENTUM FUND - DIRECT PLAN,INF966L01CZ3,2025-03-03,BSE,MF,,buy,false,86.440000,12.725000,1705572942,1705572942,2025-03-03T00:00:00
AXIS NIFTY 100 INDEX FUND - DIRECT PLAN,INF846K01S29,2025-04-02,BSE,MF,,buy,false,326.565000,21.128000,1759295793,1759295793,2025-04-02T00:00:00
EDELWEISS SMALL CAP FUND - DIRECT PLAN,INF754K01JN6,2025-04-02,BSE,MF,,buy,false,118.720000,42.956000,1759439915,1759439915,2025-04-02T00:00:00
HDFC NIFTY500 MULTICAP 50 25 25 INDEX FUND - DIRECT PLAN,INF179KC1IO9,2025-04-02,BSE,MF,,buy,false,771.110000,8.947700,1759336001,1759336001,2025-04-02T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2025-04-02,BSE,MF,,buy,false,59.915000,85.115900,1759243546,1759243546,2025-04-02T00:00:00
QUANT MOMENTUM FUND - DIRECT PLAN,INF966L01CZ3,2025-04-02,BSE,MF,,buy,false,79.973000,13.754000,1759134621,1759134621,2025-04-02T00:00:00
AXIS NIFTY 100 INDEX FUND - DIRECT PLAN,INF846K01S29,2025-05-02,BSE,MF,,buy,false,314.072000,21.968400,1820627729,1820627729,2025-05-02T00:00:00
EDELWEISS SMALL CAP FUND - DIRECT PLAN,INF754K01JN6,2025-05-02,BSE,MF,,buy,false,116.835000,43.649000,1820748742,1820748742,2025-05-02T00:00:00
HDFC NIFTY500 MULTICAP 50 25 25 INDEX FUND - DIRECT PLAN,INF179KC1IO9,2025-05-02,BSE,MF,,buy,false,749.076000,9.210900,1820645410,1820645410,2025-05-02T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2025-05-02,BSE,MF,,buy,false,57.962000,87.984700,1820857887,1820857887,2025-05-02T00:00:00
