symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
GOLDBEES,INF204KB17I5,2025-04-01,NSE,EQ,EQ,buy,false,25.000000,76.140000,204449336,1100000036293783,2025-04-01T11:30:02
MOIL,INE490G01020,2025-04-29,NSE,EQ,EQ,buy,false,3.000000,318.650000,400016339,1200000000163707,2025-04-29T09:15:00
LTFOODS,INE818H01020,2025-04-29,NSE,EQ,EQ,buy,false,2.000000,356.050000,400016363,1200000000163765,2025-04-29T09:15:00
LTFOODS,INE818H01020,2025-04-29,NSE,EQ,EQ,buy,false,1.000000,356.050000,400016364,1200000000163765,2025-04-29T09:15:00
TIMETECHNO,INE508G01029,2025-04-29,NSE,EQ,EQ,buy,false,6.000000,351.100000,600026209,1300000000219387,2025-04-29T09:15:00
HGINFRA,INE926X01010,2025-04-29,NSE,EQ,EQ,buy,false,1.000000,1094.000000,200021008,1100000000224331,2025-04-29T09:15:00
JINDALSAW,INE324A01032,2025-04-29,NSE,EQ,EQ,buy,false,1.000000,261.050000,200021009,1100000000224337,2025-04-29T09:15:00
JINDALSAW,INE324A01032,2025-04-29,NSE,EQ,EQ,buy,false,1.000000,261.100000,200021010,1100000000224337,2025-04-29T09:15:00
JINDALSAW,INE324A01032,2025-04-29,NSE,EQ,EQ,buy,false,1.000000,261.150000,200021011,1100000000224337,2025-04-29T09:15:00
GULFOILLUB,INE635Q01029,2025-04-29,NSE,EQ,EQ,buy,false,1.000000,1191.100000,200021026,1100000000224387,2025-04-29T09:15:00
GOLDBEES,INF204KB17I5,2025-04-30,NSE,EQ,EQ,buy,false,25.000000,80.060000,203754614,1100000031378821,2025-04-30T11:00:01
